Step	F1 (Hz)	F1 (ERB)	F2 (Hz)	F2 (ERB)	F3 (Hz)	F3 (ERB)
0	984.612065954506	15.168276200233594	1642.9675767051908	19.295030900063445	2796.676700237963	23.713095042164124
1	979.5751095752577	15.128391826274981	1651.680210249845	19.338740668867494	2800.875900742603	23.725489752403867
2	974.5593273658321	15.08850745231637	1660.436365130781	19.382450437671544	2805.081785216268	23.73788446264361
3	969.5646178632145	15.048623078357755	1669.2363007170848	19.42616020647559	2809.2943670346663	23.75027917288335
4	964.5908801876061	15.008738704399143	1678.0802783042645	19.46986997527964	2813.513659607875	23.762673883123092
5	959.6380140383179	14.968854330440529	1686.968561132067	19.513579744083685	2817.73967638046	23.775068593362835
6	954.7059196897013	14.928969956481916	1695.9014144024993	19.557289512887735	2821.9724308315745	23.78746330360258
7	949.7944979871062	14.889085582523304	1704.8791052980414	19.600999281691784	2826.2119364750793	23.799858013842318
8	944.9036503428807	14.84920120856469	1713.9019030000745	19.64470905049583	2830.458206859657	23.81225272408206
9	940.0332787324013	14.809316834606078	1722.9700787075094	19.68841881929988	2834.711255568915	23.824647434321804
10	935.1832856901374	14.769432460647463	1732.0839056556265	19.73212858810393	2838.9710962215017	23.837042144561547
11	930.3535743057464	14.729548086688851	1741.2436591351263	19.775838356907975	2843.237742471224	23.849436854801287
12	925.5440482202055	14.689663712730239	1750.4496165114037	19.819548125712025	2847.511208007159	23.86183156504103
13	920.7546116219772	14.649779338771625	1759.7020572440233	19.86325789451607	2851.791506553762	23.874226275280773
14	915.9851692431979	14.609894964813012	1769.0012629064381	19.90696766332012	2856.078651870988	23.886620985520516
15	911.2356263559095	14.570010590854398	1778.3475172059118	19.95067743212417	2860.3726577544026	23.899015695760255
16	906.5058887683161	14.530126216895786	1787.74110600368	19.994387200928216	2864.673538035303	23.911410405999998
17	901.7958628210735	14.490241842937174	1797.1823173353366	20.038096969732266	2868.9813065808253	23.92380511623974
18	897.1054553836086	14.45035746897856	1806.67144143146	20.081806738536315	2873.2959772940667	23.936199826479484
19	892.4345738504755	14.410473095019947	1816.2087707384626	20.12551650734036	2877.6175641141995	23.948594536719224
20	887.7831261377304	14.370588721061333	1825.7945999396925	20.16922627614441	2881.9460810165915	23.960989246958967
21	883.1510206793465	14.33070434710272	1835.4292259767687	20.212936044948457	2886.2815420129205	23.97338395719871
22	878.5381664236571	14.290819973144108	1845.1129480711734	20.256645813752506	2890.623961151293	23.985778667438453
23	873.9444728298224	14.250935599185494	1854.8460677460748	20.300355582556556	2894.9733525163592	23.998173377678192
24	869.3698498643328	14.211051225226882	1864.628888848423	20.3440653513606	2899.3297302294454	24.010568087917935
25	864.8142079975361	14.171166851268268	1874.4617175712892	20.38777512016465	2903.6931084486537	24.02296279815768
26	860.2774582001969	14.131282477309655	1884.344862476466	20.431484888968697	2908.0635013689966	24.035357508397418
27	855.7595119400806	14.091398103351043	1894.278634517336	20.475194657772747	2912.440923222515	24.04775221863716
28	851.2602811785681	14.051513729392429	1904.263347061998	20.518904426576796	2916.825388278392	24.060146928876904
29	846.779678367298	14.011629355433817	1914.2993159166704	20.562614195380842	2921.2169108430826	24.072541639116647
30	842.3176164448355	13.971744981475204	1924.3868593493708	20.60632396418489	2925.6155052604295	24.084936349356386
31	837.8740088333697	13.93186060751659	1934.5262981138617	20.65003373298894	2930.021185911792	24.09733105959613
32	833.448769435436	13.891976233557978	1944.717955473887	20.693743501792987	2934.4339672161605	24.109725769835872
33	829.0418126306695	13.852091859599364	1954.9621572276963	20.737453270597037	2938.8538636302856	24.122120480075615
34	824.6530532725775	13.812207485640752	1965.259231732845	20.781163039401083	2943.2808896487995	24.134515190315355
35	820.2824066853461	13.772323111682137	1975.6095099313043	20.824872808205132	2947.7150598043436	24.146909900555098
36	815.9297886606686	13.732438737723525	1986.0133253748531	20.86858257700918	2952.156388667687	24.15930461079484
37	811.5951154545993	13.692554363764913	1996.4710142507815	20.912292345813228	2956.6048908478597	24.171699321034584
38	807.2783037844354	13.652669989806299	2006.9829154079007	20.956002114617277	2961.060580992267	24.184094031274324
39	802.9792708256217	13.612785615847686	2017.5493703828502	20.999711883421327	2965.52347378683	24.196488741514067
40	798.6979342086833	13.572901241889074	2028.1707234267317	21.043421652225373	2969.9935839561017	24.20888345175381
41	794.4342120161762	13.53301686793046	2038.8473215320612	21.087131421029422	2974.4709262633955	24.221278161993553
42	790.1880227796752	13.493132493971848	2049.579514460033	21.13084118983347	2978.9555155109165	24.233672872233292
43	785.9592854767691	13.453248120013233	2060.367654768122	21.174550958637518	2983.4473665398928	24.246067582473035
44	781.7479195280973	13.413363746054621	2071.212097838015	21.218260727441567	2987.94649423069	24.258462292712778
45	777.5538447943978	13.373479372096007	2082.1132019038746	21.261970496245613	2992.4529135029575	24.27085700295252
46	773.376981573583	13.333594998137395	2093.071328080954	21.305680265049663	2996.9666393157463	24.28325171319226
47	769.2172505978423	13.293710624178782	2104.0868403945465	21.34939003385371	3001.487686667649	24.295646423432004
48	765.0745730307594	13.253826250220168	2115.160105809294	21.39309980265776	3006.0160705969192	24.308041133671747
49	760.9488704644655	13.213941876261556	2126.29149425885	21.436809571461808	3010.5518061816133	24.32043584391149
