Step	F1 (Hz)	F1 (ERB)	F2 (Hz)	F2 (ERB)
1	973.940638465478	15.083576121030259	2213.7354999502027	21.772413985450918
2	963.6451045169324	15.001135516258957	2222.025954648243	21.803538028802617
3	953.4386623354313	14.918694911487657	2230.3477170988035	21.834662072154316
4	943.3204348735474	14.836254306716356	2238.700932492894	21.865786115506015
5	933.28955541533	14.753813701945054	2247.085746876008	21.896910158857718
6	923.345167427532	14.671373097173754	2255.5023071544	21.928034202209417
7	913.4864244134155	14.588932492402453	2263.9507611014333	21.959158245561117
8	903.7124897690825	14.506491887631151	2272.4312573639763	21.990282288912816
9	894.0225366422817	14.424051282859851	2280.943945468859	22.021406332264515
10	884.4157477936425	14.34161067808855	2289.4889758293807	22.052530375616215
11	874.8913154602851	14.259170073317248	2298.066499751888	22.083654418967914
12	865.4484412217603	14.176729468545949	2306.6766694423964	22.114778462319617
13	856.0863358682723	14.094288863774647	2315.3196380132836	22.145902505671316
14	846.8042192711405	14.011848259003346	2323.9955594900375	22.177026549023015
15	837.6013202554508	13.929407654232046	2332.704588818066	22.208150592374714
16	828.4768764748608	13.846967049460744	2341.446881869564	22.239274635726414
17	819.4301342885086	13.764526444689443	2350.2225954504497	22.270398679078113
18	810.4603486399901	13.682085839918143	2359.0318873073593	22.301522722429812
19	801.5667829383597	13.599645235146841	2367.8749161347	22.33264676578151
20	792.7487089411203	13.51720463037554	2376.751841581779	22.363770809133214
21	784.0054066391543	13.43476402560424	2385.6628242599804	22.394894852484914
22	775.3361641435674	13.352323420832938	2394.6080257500316	22.426018895836613
23	766.7402775744043	13.269882816061637	2403.587608609303	22.457142939188312
24	758.217050951198	13.187442211290337	2412.601736379205	22.48826698254001
25	749.7657960853217	13.105001606519036	2421.6505735926357	22.51939102589171
26	741.3858324741057	13.022561001747736	2430.734285781497	22.55051506924341
27	733.0764871966834	12.940120396976434	2439.853039484289	22.581639112595113
28	724.8370948115411	12.857679792205133	2449.007002253758	22.612763155946812
29	716.6669972557268	12.775239187433833	2458.196342664637	22.64388719929851
30	708.565543745702	12.692798582662531	2467.421230321432	22.67501124265021
31	700.5320906797875	12.61035797789123	2476.6818358663036	22.70613528600191
32	692.5660015421922	12.52791737311993	2485.9783309870013	22.73725932935361
33	684.6666468085743	12.445476768348628	2495.3108884248827	22.76838337270531
34	676.833403853128	12.363036163577327	2504.6796819830083	22.79950741605701
35	669.0656568571462	12.280595558806027	2514.0848865342978	22.83063145940871
36	661.362796719048	12.198154954034726	2523.526678029781	22.86175550276041
37	653.7242209658336	12.115714349263424	2533.0052335069067	22.89287954611211
38	646.1493336659454	12.033273744492124	2542.520731097945	22.92400358946381
39	638.6375453435024	11.950833139720823	2552.0733500384545	22.955127632815508
40	631.1882728938958	11.868392534949521	2561.6632706758364	22.986251676167207
41	623.8009395007019	11.785951930178221	2571.2906744779693	23.01737571951891
42	616.4749745539065	11.70351132540692	2580.9557440419158	23.04849976287061
43	609.2098135694025	11.621070720635618	2590.658663102722	23.07962380622231
44	602.0048981097483	11.538630115864319	2600.3996165422946	23.110747849574008
45	594.8596757061536	11.456189511093017	2610.178790398357	23.141871892925707
46	587.7735997816794	11.373748906321715	2619.996371873497	23.172995936277406
47	580.7461295756237	11.291308301550416	2629.852549344298	23.204119979629105
48	573.7767300690758	11.208867696779114	2639.747512370555	23.235244022980808
49	566.8648719116143	11.126427092007813	2649.681451704571	23.266368066332507
50	560.0100313491328	11.043986487236513	2659.6545593005617	23.297492109684207
