Step	F1 (Hz)	F1 (ERB)	F2 (Hz)	F2 (ERB)	F3 (Hz)	F3 (ERB)
0	894.4623358048995	14.427808465973941	1565.5345251031836	18.89671967034055	2594.497028274156	23.091902599246662
1	888.9999999999997	14.381039012809751	1576.9999999999995	18.95684311649558	2603	23.119035962490397
2	883.5642937380189	14.334269559645561	1588.5436817725351	19.016966562650612	2611.5320571344123	23.14616932573413
3	878.1550700597302	14.28750010648137	1600.166204400169	19.077090008805648	2620.093323866262	23.17330268897787
4	872.7721829723639	14.24073065331718	1611.8682082519558	19.13721345496068	2628.683925063246	23.200436052221605
5	867.4154874418458	14.193961200152987	1623.6503401668142	19.197336901115715	2637.3039862765495	23.227569415465343
6	862.0848393851132	14.147191746988797	1635.513253534922	19.257460347270747	2645.9536337455065	23.254702778709078
7	856.7800956625035	14.100422293824606	1647.457608380363	19.317583793425783	2654.632994402345	23.281836141952816
8	851.5011140702168	14.053652840660416	1659.48407144502	19.377707239580815	2663.342195876921	23.30896950519655
9	846.2477533328522	14.006883387496224	1671.59331627376	19.437830685735847	2672.0813665015435	23.33610286844029
10	841.0198730960127	13.960113934332034	1683.7860233009267	19.497954131890882	2680.850635315796	23.363236231684024
11	835.8173339189836	13.913344481167842	1696.062879938149	19.558077578045914	2689.6501320714187	23.39036959492776
12	830.6399972674837	13.866575028003652	1708.4245806635238	19.61820102420095	2698.4799872372378	23.417502958171497
13	825.4877255064772	13.81980557483946	1720.8718271121534	19.67832447035598	2707.340332004112	23.44463632141523
14	820.3603818930636	13.77303612167527	1733.4053281681004	19.738447916511014	2716.23129828995	23.47176968465897
15	815.2578305694313	13.726266668511078	1746.025800057773	19.79857136266605	2725.153018744739	23.498903047902704
16	810.1799365558766	13.679497215346888	1758.7339664447452	19.85869480882108	2734.105626755646	23.526036411146443
17	805.1265657438925	13.632727762182697	1771.5305585260842	19.918818254976117	2743.0892564521305	23.553169774390177
18	800.0975848893222	13.585958309018507	1784.4163151301598	19.97894170113115	2752.104042711132	23.580303137633912
19	795.0928616055729	13.539188855854315	1797.3919828160076	20.039065147286184	2761.1501211622763	23.60743650087765
20	790.1122643569046	13.492419402690125	1810.458315974244	20.099188593441216	2770.2276281931304	23.634569864121385
21	785.1556624517663	13.445649949525933	1823.6160769295848	20.159312039596248	2779.336700954517	23.661703227365123
22	780.2229260362132	13.398880496361743	1836.8660360449708	20.219435485751283	2788.4774773658514	23.688836590608858
23	775.3139260873693	13.352111043197551	1850.20897182736	20.279558931906315	2797.6500961205443	23.715969953852596
24	770.4285344069631	13.305341590033361	1863.6456710351877	20.33968237806135	2806.8546966914305	23.74310331709633
25	765.5666236149186	13.25857213686917	1877.1769287875538	20.399805824216383	2816.0914193362614	23.77023668034007
26	760.7280671430062	13.21180268370498	1890.803548675152	20.45992927037142	2825.360405103232	23.797370043583804
27	755.9127392285557	13.16503323054079	1904.5263428729659	20.52005271652645	2834.6617958365605	23.82450340682754
28	751.1205149082244	13.118263777376598	1918.3461322547962	20.580176162681482	2843.995734182115	23.851636770071277
29	746.3512700118282	13.071494324212406	1932.263746509623	20.640299608836518	2853.362363593079	23.87877013331501
30	741.604881156224	13.024724871048216	1946.2800242598364	20.70042305499155	2862.7618283356865	23.90590349655875
31	736.8812257392542	12.977955417884026	1960.3958131814202	20.760546501146585	2872.194273494978	23.933036859802485
32	732.1801819337448	12.931185964719834	1974.611970126045	20.820669947301617	2881.6598449806374	23.960170223046223
33	727.5016286815575	12.884416511555644	1988.9293612451834	20.88079339345665	2891.15868953284	23.987303586289958
34	722.8454456877033	12.837647058391452	2003.3488621162362	20.940916839611685	2900.690954728194	24.014436949533696
35	718.2115134145	12.790877605227262	2017.8713578707318	21.001040285766717	2910.2567889856973	24.04157031277743
36	713.5997130757951	12.74410815206307	2032.4977433246302	21.061163731921752	2919.8563415727644	24.068703676021165
37	709.0099266312327	12.69733869889888	2047.2289231107732	21.121287178076784	2929.489762611302	24.095837039264904
38	704.4420367805767	12.650569245734689	2062.065811813527	21.181410624231816	2939.15720308383	24.12297040250864
39	699.8959269580885	12.603799792570499	2077.0093341056527	21.24153407038685	2948.8588148396716	24.150103765752377
40	695.3714813269503	12.557030339406307	2092.0604248874447	21.301657516541884	2958.594750601169	24.17723712899611
41	690.8685847737452	12.510260886242117	2107.2200294281997	21.36178096269692	2968.3651639699888	24.20437049223985
42	686.3871229029835	12.463491433077925	2122.489103510038	21.42190440885195	2978.170209433449	24.231503855483584
43	681.9269820316814	12.416721979913735	2137.8686135741455	21.482027855006987	2988.0100423709264	24.258637218727323
44	677.4880491839875	12.369952526749543	2153.359536869458	21.54215130116202	2997.884819060295	24.285770581971057
45	673.0702120858601	12.323183073585353	2168.9628616038653	21.602274747317054	3007.7946966844497	24.312903945214792
46	668.6733591597897	12.276413620421163	2184.67958709796	21.662398193472086	3017.73983333786	24.34003730845853
47	664.2973795195717	12.229644167256971	2200.5107239413974	21.722521639627118	3027.7203880331967	24.367170671702265
48	659.9421629651265	12.18287471409278	2216.457294151912	21.782645085782153	3037.7365207080143	24.394304034946003
49	655.6075999773639	12.13610526092859	2232.520331337035	21.842768531937185	3047.788392231481	24.421437398189738
